Electrode,Label,Coord_x,Coord_y,Coord_z,Location,Grey v White,hemi,area
1,LvPF-OF1,-9,50.5,-13,MOF,Grey,L,OFC
2,LvPF-OF2,-11.5,50.5,-11,MOF,Grey,L,OFC
3,LvPF-OF3,-14.5,50.75,-8.75,MOF,Grey,L,OFC
4,LvPF-OF4,-17,51,-6.5,MOF,White,L,OFC
5,LvPF-OF5,-19.667,51,-4.667,LOF,Grey,L,OFC
6,LvPF-OF6,-22.667,51.5,-2.667,LOF,Grey,L,OFC
7,LvPF-OF7,-25.333,52,-0.333,LOF,Grey,L,OFC
8,LvPF-OF8,-28.25,52.25,1.75,LOF,Grey,L,OFC
9,LvPF-OF9,-31.333,53,3.667,LOF,White,L,OFC
10,LvPF-OF10,-33.6,53.2,5.6,VPF,Grey,L,VPFC
11,LvPF-OF11,-36.333,54,7.667,VPF,Grey,L,VPFC
12,LvPF-OF12,-39.25,54.25,9.75,VPF,White,L,VPFC
13,LvPF-OF13,-41.667,54.6667,12,VPF,Grey,L,VPFC
14,LvPF-OF14,-45,55,14,Bolt,Bolt,L,NAN
15,LdPF-vmPF1,-5,47.5,-10,SGC,Grey,L,NAN
16,LdPF-vmPF2,-6.5,47.5,-6.5,SGC,Grey,L,NAN
17,LdPF-vmPF3,-8,47.25,-3,SGC,Grey,L,NAN
18,LdPF-vmPF4,-9.75,47,0.5,SGC,Grey,L,NAN
19,LdPF-vmPF5,-11.5,47,4,SGC,White,L,NAN
20,LdPF-vmPF6,-13,47,7.5,DPF,Grey,L,DPFC
21,LdPF-vmPF7,-14.5,47,11,DPF,Grey,L,DPFC
22,LdPF-vmPF8,-15.5,47,14.5,DPF,White,L,DPFC
23,LdPF-vmPF9,-17,47,18.5,DPF,White,L,DPFC
24,LdPF-vmPF10,-18.5,47,22,DPF,White,L,DPFC
25,empty,0,0,0,DPF,Grey,L,DPFC
26,empty,0,0,0,DPF,Grey,L,DPFC
27,empty,0,0,0,DPF,Grey,L,DPFC
28,LdPF-vmPF14,-23.5,47.5,37,DPF,Grey,L,DPFC
29,LdPF-vmPF15,-25,47.5,41,DPF,Grey,L,DPFC
30,LdPF-vmPF16,-26.4,47.6,44.72,Bolt,Bolt,L,NAN
31,LdPF-mOF1,-16.667,34,-18.667,MOF,Grey,L,OFC
32,LdPF-mOF2,-18.333,34,-16.333,MOF,Grey,L,OFC
33,LdPF-mOF3,-21,33.6667,-12.667,MOF,White,L,OFC
34,LdPF-mOF4,-23,33.3333,-9.333,MOF,White,L,OFC
35,LdPF-mOF5,-25.333,33,-6.333,MOF,White,L,OFC
36,LdPF-mOF6,-27.5,33,-2.5,MOF,White,L,OFC
37,LdPF-mOF7,-29.667,33,0.333,MOF,Grey,L,OFC
38,LdPF-mOF8,-32,32.5,4,DPF,Grey,L,DPFC
39,LdPF-mOF9,-34,32.5,7,DPF,Grey,L,DPFC
40,LdPF-mOF10,-36.333,32.3333,10,DPF,White,L,DPFC
41,empty,-38.667,32,13.333,DPF,Grey,L,DPFC
42,empty,0,0,0,DPF,Grey,L,DPFC
43,LdPF-mOF13,-43.333,32,19.667,DPF,Grey,L,DPFC
44,LdPF-mOF14,-45.5,32,23,DPF,Grey,L,DPFC
45,LdPF-mOF15,-47.65,31.57,26.15,DPF,Grey,L,DPFC
46,LdPF-mOF16,-50.4,31.49,30.32,Bolt,Bolt,L,NAN
47,LdPF-ACC1,-3.62,11.12,23.12,ACC,Grey,L,ACC
48,LdPF-ACC2,-5.62,11,26.12,ACC,Grey,L,ACC
49,LdPF-ACC3,-7.5,11,30.5,ACC,Grey,L,ACC
50,LdPF-ACC4,-9.333,11,33.6667,ACC,Grey,L,ACC
51,LdPF-ACC5,-10.667,11,36.3333,ACC,Grey,L,ACC
52,LdPF-ACC6,-12.333,11,39.6667,ACC,Grey,L,ACC
53,empty,-14,10.5,43,ACC,Grey,L,ACC
54,empty,0,0,0,ACC,White,L,ACC
55,LdPF-ACC9,-17,10.5,49.5,DPF,Grey,L,DPFC
56,LdPF-ACC10,-18.5,10,52.5,DPF,Grey,L,DPFC
57,LdPF-ACC11,-20,10,55.5,DPF,Grey,L,DPFC
58,LdPF-ACC12,-21.6,10,58.8,DPF,Grey,L,DPFC
59,empty,0,0,0,,,L,
60,empty,0,0,0,,,L,
61,empty,0,0,0,,,L,
62,empty,0,0,0,,,L,
63,empty,0,0,0,,,L,
64,empty,0,0,0,,,L,
65,LdPF-Amy1,-15.5,4,-25,AMY,Grey,L,NAN
66,LdPF-Amy2,-19,4,-24.5,AMY,Grey,L,NAN
67,LdPF-Amy3,-22,4,-24,AMY,Grey,L,NAN
68,LdPF-Amy4,-25.333,4.333,-24,AMY,Grey,L,NAN
69,LdPF-Amy5,-29,4,-23.5,AMY,Grey,L,NAN
70,LdPF-Amy6,-32.667,4.333,-23,AMY,Grey,L,NAN
71,LdPF-Amy7,-36,4,-23,MTG,White,L,NAN
72,LdPF-Amy8,-39.5,4,-22.5,MTG,Grey,L,NAN
73,LdPF-Amy9,-43,4.5,-22,MTG,Grey,L,NAN
74,LdPF-Amy10,-46.5,4,-22,MTG,Grey,L,NAN
75,LdPF-Amy11,-50,4.333,-21.333,MTG,Grey,L,NAN
76,LdPF-Amy12,-53.333,4.333,-21,MTG,Grey,L,NAN
77,LdPF-Amy13,-56.75,4.31,-20.78,MTG,Grey,L,NAN
78,LdPF-Amy14,-60.73,4.46,-20.5,Bolt,Bolt,L,NAN
79,empty,0,0,0,,,,
80,empty,0,0,0,,,,
81,empty,0,0,0,,,,
82,empty,0,0,0,,,,
83,empty,0,0,0,,,,
84,empty,0,0,0,,,,
85,empty,0,0,0,,,,
86,empty,0,0,0,,,,
87,empty,0,0,0,,,,
88,empty,0,0,0,,,,
89,empty,0,0,0,,,,
90,empty,0,0,0,,,,
91,empty,0,0,0,,,,
92,empty,0,0,0,,,,
93,empty,0,0,0,,,,
94,empty,0,0,0,,,,
95,empty,0,0,0,,,,
96,empty,0,0,0,,,,
97,empty,0,0,0,,,,
98,empty,0,0,0,,,,
99,empty,0,0,0,,,,
100,empty,0,0,0,,,,
101,empty,0,0,0,,,,
102,empty,0,0,0,,,,
103,empty,0,0,0,,,,
104,empty,0,0,0,,,,
105,empty,0,0,0,,,,
106,empty,0,0,0,,,,
107,empty,0,0,0,,,,
108,empty,0,0,0,,,,
109,empty,0,0,0,,,,
110,empty,0,0,0,,,,
111,empty,0,0,0,,,,
112,empty,0,0,0,,,,
113,empty,0,0,0,,,,
114,empty,0,0,0,,,,
115,empty,0,0,0,,,,
116,empty,0,0,0,,,,
117,empty,0,0,0,,,,
118,empty,0,0,0,,,,
119,empty,0,0,0,,,,
120,empty,0,0,0,,,,
121,empty,0,0,0,,,,
122,empty,0,0,0,,,,
123,empty,0,0,0,,,,
124,empty,0,0,0,,,,
125,empty,0,0,0,,,,
126,empty,0,0,0,,,,
127,empty,0,0,0,,,,
128,empty,0,0,0,,,,
129,empty,0,49.5,-15,MOF,Grey,R,OFC
130,RvPF-OF2,3.667,49,-12.667,MOF,Grey,R,OFC
131,RvPF-OF3,6.5,48.5,-11,MOF,Grey,R,OFC
132,RvPF-OF4,9.667,48,-8.667,MOF,Grey,R,OFC
133,RvPF-OF5,13.4,47.6,-6.4,MOF,White,R,OFC
134,RvPF-OF6,16.333,47,-4.333,MOF,White,R,OFC
135,RvPF-OF7,19.667,46.6667,-2,LOF,Grey,R,OFC
136,RvPF-OF8,23,46.5,0,LOF,Grey,R,OFC
137,RvPF-OF9,26.5,46,2,LOF,Grey,R,OFC
138,RvPF-OF10,29.5,45.5,4,LOF,White,R,OFC
139,RvPF-OF11,32.75,45.25,6.25,VPF,Grey,R,VPFC
140,RvPF-OF12,36.3333,45,8.667,VPF,Grey,R,VPFC
141,RvPF-OF13,39.5,44.75,10.75,VPF,Grey,R,VPFC
142,RvPF-OF14,43,44.5,13,VPF,Grey,R,VPFC
143,RvPF-OF15,46.6667,44,15.333,VPF,Grey,R,VPFC
144,RvPF-OF16,50.38,43.17,18,Bolt,Bolt,R,NAN
145,RdPF-vmPF1,2,45.4,-15,MOF,Grey,R,OFC
146,RdPF-vmPF2,3.5,45.67,-12,MOF,Grey,R,OFC
147,RdPF-vmPF3,5,46,-8.5,MOF,Grey,R,OFC
148,RdPF-vmPF4,6.667,46.5,-4.667,MOF,White,R,OFC
149,RdPF-vmPF5,8.333,47,-1.333,MOF,Grey,R,OFC
150,RdPF-vmPF6,9.8,47.6,2.4,SGC,Grey,R,NAN
151,RdPF-vmPF7,11.333,48,5.667,SGC,Grey,R,NAN
152,RdPF-vmPF8,13,48.5,9.5,SGC,Grey,R,NAN
153,RdPF-vmPF9,14,49,13,SGC,White,R,NAN
154,RdPF-vmPF10,15.5,50,16.5,SGC,White,R,NAN
155,RdPF-vmPF11,17,50.6667,20.333,DPF,White,R,DPFC
156,RdPF-vmPF12,18.4,51.4,23.8,DPF,White,R,DPFC
157,RdPF-vmPF13,20,52,27.5,DPF,Grey,R,DPFC
158,RdPF-vmPF14,21.667,53,31.3333,DPF,Grey,R,DPFC
159,RdPF-vmPF15,23,53.5,35,DPF,Grey,R,DPFC
160,RdPF-vmPF16,24.25,54,38.5,Bolt,Bolt,R,NAN
161,RdPF-mOF1,13.5,28.25,-18.5,MOF,Grey,R,OFC
162,RdPF-mOF2,15,28.6667,-14.667,MOF,Grey,R,OFC
163,RdPF-mOF3,16.5,29,-10.5,MOF,Grey,R,OFC
164,RdPF-mOF4,18,29.3333,-6.333,MOF,White,R,OFC
165,RdPF-mOF5,19.333,30,-2.333,MOF,White,R,OFC
166,RdPF-mOF6,20.8,30.2,2,MOF,White,R,OFC
167,RdPF-mOF7,22,31,6.5,MOF,White,R,OFC
168,RdPF-mOF8,23.25,31.5,10,MOF,White,R,OFC
169,RdPF-mOF9,24.667,32,14.333,DPF,Grey,R,DPFC
170,RdPF-mOF10,26.333,33,18.667,DPF,White,R,DPFC
171,RdPF-mOF11,27.8,33.4,22.4,DPF,Grey,R,DPFC
172,RdPF-mOF12,29,34,26.5,DPF,Grey,R,DPFC
173,RdPF-mOF13,30.5,35,30.5,DPF,Grey,R,DPFC
174,RdPF-mOF14,32,35.5,34.5,DPF,Grey,R,DPFC
175,RdPF-mOF15,33.5,36,38.5,DPF,Grey,R,DPFC
176,RdPF-mOF16,35,37,42,Bolt,Bolt,R,NAN
177,RdPF-ACC1,5,11.75,25,ACC,Grey,R,ACC
178,RdPF-ACC2,6,11,28,ACC,Grey,R,ACC
179,RdPF-ACC3,7,11,31,ACC,Grey,R,ACC
180,RdPF-ACC4,8,11,34,ACC,Grey,R,ACC
181,RdPF-ACC5,9,11,37.5,ACC,Grey,R,ACC
182,RdPF-ACC6,10,11,40.5,ACC,White,R,ACC
183,RdPF-ACC7,11,11,43.5,ACC,White,R,ACC
184,RdPF-ACC8,12,11,47,DPF,Grey,R,DPFC
185,RdPF-ACC9,14,11,51,DPF,Grey,R,DPFC
186,RdPF-ACC10,15,10.67,54,DPF,Grey,R,DPFC
187,RdPF-ACC11,16,10.5,57,DPF,Grey,R,DPFC
188,RdPF-ACC12,17,10.5,60,DPF,Grey,R,DPFC
189,RdPF-ACC13,18,10.33,63,DPF,Grey,R,DPFC
190,RdPF-ACC14,19,10,66,Bolt,Bolt,R,NAN
191,empty,0,0,0,,,R,
192,empty,0,0,0,,,R,
193,RdPF-Amy1,16,6.5,-27,AMY,Grey,R,NAN
194,RdPF-Amy2,19,6.5,-26.5,AMY,Grey,R,NAN
195,RdPF-Amy3,22.5,6.5,-26,AMY,Grey,R,NAN
196,RdPF-Amy4,26,7,-25.5,AMY,Grey,R,NAN
197,RdPF-Amy5,29.5,7.5,-25,AMY,Grey,R,NAN
198,RdPF-Amy6,33,8,-24.5,AMY,Grey,R,NAN
199,RdPF-Amy7,36,8.5,-24,AMY,Grey,R,NAN
200,RdPF-Amy8,40,9,-23,MTG,White,R,NAN
201,RdPF-Amy9,43,9,-22.5,MTG,White,R,NAN
202,RdPF-Amy10,46.6667,9.667,-22,MTG,Grey,R,NAN
203,RdPF-Amy11,50,9.667,-21.667,MTG,Grey,R,NAN
204,RdPF-Amy12,53.5,10.33,-20.83,MTG,Grey,R,NAN
205,RdPF-Amy13,57,10.5,-20,MTG,Grey,R,NAN
206,empty,60.67,11.33,-19.5,MTG,Grey,R,NAN
